project,neighborhood,status,sold_out,str_allowed,str_detail,price_from,bedrooms,commission,delivery,delivery_year,architect,lead_developer,url_slug,developer_page_slug
Tula Residences,North Bay Village,Under Construction,No,No,No,,2 to 3 Bedrooms (5BR + Den PH Available),0.06,Q2 2027,2027,M77R,Bayshore Grove Capital,preconstruction-north-bay-village-tula-residences,developers-bayshore-grove-capital
Twenty-Nine Indian Creek,Miami Beach,Under Construction,No,No,No,,1 to 2 Bedrooms,0.06,2027,2027,Urban Robot Associates,Trinity Southern,preconstruction-miami-beach-twenty-nine-indian-creek,developers-trinity-southern
TwentySixth&2nd Wynwood Residences,Wynwood,Under Construction,No,Yes,Yes/Airbnb,,Studio to Junior Suites,0.06,Q2 2028,2028,CUBE 3,Property Markets Group,preconstruction-wynwood-twentysixth-2nd-wynwood-residences,developers-property-markets-group
Una Residences,Brickell,New Construction,No,No,No,,2 to 5 Bedrooms,0.06,,,Adrian Smith + Gordon Gill Architecture,OKO Group,preconstruction-brickell-una-residences,developers-oko-group
Viceroy Aventura,Aventura,In Contract,No,Unknown,,,1 to 4 Bedrooms,,Q4 2028,2028,Arquitectonica,Related Group,preconstruction-aventura-viceroy-aventura,developers-related-group
Viceroy Brickell,Brickell,New Construction,No,No,No,,Studio to 2 Bedrooms (3BR PH Available),0.07,,,Arquitectonica,Related Group,preconstruction-brickell-viceroy-brickell,developers-related-group
Vida Edgewater,Edgewater,Topped Off,Yes,Yes,Yes/Airbnb,,Studio to 3 Bedrooms,,Q2 2026,2026,Kobi Karp Architecture & Interior Design,Urbana Holdings,preconstruction-edgewater-vida-edgewater,developers-urbana-holdings
Villa 17,South Beach,In Contract,No,No,No,,4 Bedrooms,0.05,2027,2027,Kobi Karp Architecture & Interior Design,Regency Development Group,preconstruction-south-beach-villa-17,developers-regency-development-group
Villa Miami,Edgewater,Under Construction,No,No,No,,3 to 5 Bedrooms,0.06,Q4 2027,2027,ODP Architecture & Design,One Thousand Group,preconstruction-edgewater-villa-miami,developers-one-thousand-group
Vista Harbor Residences & Yacht Club,Miami River,Reservations,No,No,No,,Studio to 4 Bedrooms,0.06,Q4 2029,2029,FormGroup Architects,ALTA Development,preconstruction-miami-river-vista-harbor-residences-yacht-club,developers-alta-development
Waldorf Astoria Residences Miami,Downtown Miami,Under Construction,No,Varies,Varies,,1 to 4 Bedrooms (Furnished Junior Suites in Cube 4),0.06,Q1 2028,2028,Carlos Ott Architects,Property Markets Group,preconstruction-downtown-miami-waldorf-astoria-residences-miami,developers-property-markets-group
Ziggurat,Coconut Grove,Under Construction,No,No,No,,2 to 5 Bedrooms,0.05,Q1 2028,2028,Oppenheim Architecture & Design,Allen Morris Company,preconstruction-coconut-grove-ziggurat,developers-allen-morris-company
