building,neighborhood,units,floors,year_built,str_allowed,str_detail,architect,lead_developer,url_slug,developer_page_slug
The Carillon North Tower,Miami Beach,199,35,2008,Unknown,,Arquitectonica,,condos-miami-beach-the-carillon-north-tower,developers
The Carillon South Tower,Miami Beach,141,21,2008,Unknown,,Arquitectonica,,condos-miami-beach-the-carillon-south-tower,developers
The Club at Brickell Bay,Brickell,643,43,2005,Yes,Yes/Airbnb,,,condos-brickell-the-club-at-brickell-bay,developers
The Cosmopolitan Building 1,South of Fifth,136,8,2004,Unknown,,,,condos-south-of-fifth-the-cosmopolitan-building-1,developers
The Cosmopolitan Building 2,South of Fifth,85,6,2004,Unknown,,,,condos-south-of-fifth-the-cosmopolitan-building-2,developers
The Crimson,Edgewater,90,19,2016,Unknown,,,,condos-edgewater-the-crimson,developers
The Crosby Miami Worldcenter,Park West,450,33,2026,Yes,Yes/Airbnb,CFE Architects,Related Group,condos-park-west-the-crosby-miami-worldcenter,developers-related-group
The Decoplage,South Beach,614,17,1965,Unknown,,,,condos-south-beach-the-decoplage,developers
The Elser Hotel & Residences,Downtown Miami,646,47,2022,Unknown,,Sieger Suarez Architects,Property Markets Group,condos-downtown-miami-the-elser-hotel-residences,developers-property-markets-group
The Estates at Acqualina North,Sunny Isles Beach,83,49,2023,Unknown,,,,condos-sunny-isles-beach-the-estates-at-acqualina-north,developers
The Estates at Acqualina South,Sunny Isles Beach,149,49,2022,Unknown,,,,condos-sunny-isles-beach-the-estates-at-acqualina-south,developers
The Fairchild Coconut Grove,Coconut Grove,26,6,2020,Unknown,,,,condos-coconut-grove-the-fairchild-coconut-grove,developers
The Floridian,South Beach,334,34,1997,Unknown,,,Gumenick Properties,condos-south-beach-the-floridian,developers-gumenick-properties
The Ivory,Bay Harbor Islands,40,9,2017,Unknown,,,Brick O. Real Estate,condos-bay-harbor-islands-the-ivory,developers-brick-o-real-estate
The Ivy at Riverfront,Miami River,504,46,2008,No,No,Revuelta Vega Leon,Key International,condos-miami-river-the-ivy-at-riverfront,developers-key-international
The Loft 2,Downtown Miami,495,36,2007,No,No,,Related Group,condos-downtown-miami-the-loft-2,developers-related-group
The Mansions at Acqualina,Sunny Isles Beach,84,47,2015,Unknown,,,,condos-sunny-isles-beach-the-mansions-at-acqualina,developers
The Mark on Brickell,Brickell,359,37,2001,No,No,,Related Group,condos-brickell-the-mark-on-brickell,developers-related-group
The Metropolitan,Brickell,198,27,2001,Unknown,,,,condos-brickell-the-metropolitan,developers
The Palace,Brickell,248,42,1981,Unknown,,Arquitectonica,Harry B. Helmsley,condos-brickell-the-palace,developers-harry-b-helmsley
The Palace at Bal Harbour,Bal Harbour,103,21,1994,Unknown,,,Oren Development,condos-bal-harbour-the-palace-at-bal-harbour,developers-oren-development
The Palms,Bay Harbor Islands,42,8,2018,Unknown,,,Blue Road,condos-bay-harbor-islands-the-palms,developers-blue-road
The Parc at Turnberry Isle,Aventura,111,22,2005,Unknown,,,,condos-aventura-the-parc-at-turnberry-isle,developers
The Plaza on Brickell East,Brickell,560,56,2008,No,No,Nichols Architects,Related Group,condos-brickell-the-plaza-on-brickell-east,developers-related-group
The Plaza on Brickell West,Brickell,439,44,2008,No,No,Nichols Architects,Related Group,condos-brickell-the-plaza-on-brickell-west,developers-related-group
The Residences at The Miami Beach Edition,Miami Beach,24,17,2014,Unknown,,,,condos-miami-beach-the-residences-at-the-miami-beach-edition,developers
